
INTEGERS

1

  Heap Sort       | reverse_sorted_int   | size=     100 |     0.0642 ms  (avg of 10000 runs)
  Selection Sort  | reverse_sorted_int   | size=     100 |     0.1010 ms  (avg of 10000 runs)
  Merge Sort      | reverse_sorted_int   | size=     100 |     0.0815 ms  (avg of 10000 runs)
  Quick Sort      | reverse_sorted_int   | size=     100 |     0.1487 ms  (avg of 10000 runs)
  Bubble Sort     | almost_sorted_int    | size=     100 |     0.1089 ms  (avg of 10000 runs)
  Insertion Sort  | almost_sorted_int    | size=     100 |     0.0165 ms  (avg of 10000 runs)
  Heap Sort       | almost_sorted_int    | size=     100 |     0.0775 ms  (avg of 10000 runs)
  Selection Sort  | almost_sorted_int    | size=     100 |     0.0943 ms  (avg of 10000 runs)
  Merge Sort      | almost_sorted_int    | size=     100 |     0.0853 ms  (avg of 10000 runs)
  Quick Sort      | almost_sorted_int    | size=     100 |     0.1052 ms  (avg of 10000 runs)
  Bubble Sort     | mixed_int            | size=     100 |     0.1707 ms  (avg of 10000 runs)
  Insertion Sort  | mixed_int            | size=     100 |     0.0719 ms  (avg of 10000 runs)
  Heap Sort       | mixed_int            | size=     100 |     0.0742 ms  (avg of 10000 runs)
  Selection Sort  | mixed_int            | size=     100 |     0.0964 ms  (avg of 10000 runs)
  Merge Sort      | mixed_int            | size=     100 |     0.0868 ms  (avg of 10000 runs)
  Quick Sort      | mixed_int            | size=     100 |     0.0342 ms  (avg of 10000 runs)
  Bubble Sort     | flat_int             | size=     100 |     0.1549 ms  (avg of 10000 runs)
  Insertion Sort  | flat_int             | size=     100 |     0.0592 ms  (avg of 10000 runs)
  Heap Sort       | flat_int             | size=     100 |     0.0563 ms  (avg of 10000 runs)
  Selection Sort  | flat_int             | size=     100 |     0.1064 ms  (avg of 10000 runs)
  Merge Sort      | flat_int             | size=     100 |     0.0863 ms  (avg of 10000 runs)
  Quick Sort      | flat_int             | size=     100 |     0.0859 ms  (avg of 10000 runs)
